Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
866,Tim Scott,29,TOT,NL,65,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,scottti01
867,Tim Scott,29,MON,NL,45,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,scottti01
868,Tim Scott,29,SFG,NL,20,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,scottti01
869,Kevin Sefcik,25,PHI,NL,44,130,116,10,33,5,3,0,9,3,0,9,16,.284,.341,.379,.720,91,44,4,2,1,2,3,65/H4,sefcike01
870,David Segui#,29,MON,NL,115,477,416,69,119,30,1,11,58,4,4,60,54,.286,.375,.442,.818,114,184,8,0,0,1,4,*3/H,seguida01
871,Kevin Seitzer,34,TOT,AL,154,675,573,85,187,35,3,13,78,6,1,87,79,.326,.416,.466,.882,121,267,13,5,5,5,7,D35/H,seitzke01
872,Kevin Seitzer,34,MIL,AL,132,577,490,74,155,25,3,12,62,6,1,73,68,.316,.406,.453,.859,115,222,11,4,5,5,6,3D5/H,seitzke01
873,Kevin Seitzer,34,CLE,AL,22,98,83,11,32,10,0,1,16,0,0,14,11,.386,.480,.542,1.022,160,45,2,1,0,0,1,D/3,seitzke01
874,Bill Selby*,26,BOS,AL,40,105,95,12,26,4,0,3,6,1,1,9,11,.274,.337,.411,.747,88,39,3,0,1,0,1,45H/7D,selbybi01
875,Scott Servais,29,CHC,NL,129,499,445,42,118,20,0,11,63,0,2,30,75,.265,.327,.384,.711,86,171,18,14,3,7,1,*2/H3,servasc01
876,Scott Service,29,CIN,NL,34,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,servisc01
877,Jeff Shaw,29,CIN,NL,78,6,5,0,0,0,0,0,0,0,0,1,3,.000,.167,.000,.167,-51,0,0,0,0,0,0,1,shawje01
878,Danny Sheaffer,34,STL,NL,79,214,198,10,45,9,3,2,20,3,3,9,25,.227,.271,.333,.605,60,66,13,3,4,0,0,2H5/37,sheafda01
879,Andy Sheets,24,SEA,AL,47,124,110,18,21,8,0,0,9,2,0,10,41,.191,.262,.264,.526,35,29,2,1,2,1,0,54/H6,sheetan01
880,Gary Sheffield,27,FLA,NL,161,677,519,118,163,33,1,42,120,16,9,142,66,.314,.465,.624,1.090,189,324,16,10,0,6,19,*9/H,sheffga01
881,Craig Shipley,33,SDP,NL,33,99,92,13,29,5,0,1,7,7,0,2,15,.315,.337,.402,.739,100,37,0,2,1,2,1,4/H659,shiplcr01
882,Terry Shumpert,29,CHC,NL,27,35,31,5,7,1,0,2,6,0,1,2,11,.226,.286,.452,.737,90,14,0,1,0,1,0,H5/46,shumpte01
883,Joe Siddall*,28,FLA,NL,18,49,47,0,7,1,0,0,3,0,0,2,8,.149,.184,.170,.354,-4,8,0,0,0,0,0,2/H,siddajo01
884,Ruben Sierra#,30,TOT,AL,142,587,518,61,128,26,2,12,72,4,4,60,83,.247,.320,.375,.695,75,194,12,0,0,9,12,D79/H,sierrru01
885,Ruben Sierra#,30,NYY,AL,96,407,360,39,93,17,1,11,52,1,3,40,58,.258,.327,.403,.730,83,145,10,0,0,7,11,D7/H9,sierrru01
886,Ruben Sierra#,30,DET,AL,46,180,158,22,35,9,1,1,20,3,1,20,25,.222,.306,.310,.616,57,49,2,0,0,2,1,D9/H7,sierrru01
887,Dave Silvestri,28,MON,NL,86,200,162,16,33,4,0,1,17,2,1,34,41,.204,.340,.247,.587,57,40,5,0,3,1,6,5H6/3487,silveda01
888,Mike Simms,29,HOU,NL,49,73,68,6,12,2,1,1,8,1,0,4,16,.176,.233,.279,.512,40,19,1,1,0,0,0,H/739,simmsmi01
889,Duane Singleton*,23,DET,AL,18,61,56,5,9,1,0,0,3,0,2,4,15,.161,.230,.179,.408,6,10,2,1,0,0,0,8/H7D,singldu01
890,Don Slaught,37,TOT,AL,76,263,243,25,76,10,0,6,36,0,0,15,22,.313,.355,.428,.783,100,104,16,2,1,2,0,2H/D,slaugdo01
891,Don Slaught,37,CAL,AL,62,224,207,23,67,9,0,6,32,0,0,13,20,.324,.366,.454,.820,108,94,12,2,0,2,0,2/HD,slaugdo01
892,Don Slaught,37,CHW,AL,14,39,36,2,9,1,0,0,4,0,0,2,2,.250,.289,.278,.567,48,10,4,0,1,0,0,2/HD,slaugdo01
893,Mark Small,28,HOU,NL,16,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,smallma01
894,John Smiley*,31,CIN,NL,35,76,68,1,13,2,0,0,6,0,0,4,22,.191,.236,.221,.457,22,15,1,0,4,0,0,1,smilejo01
895,Dwight Smith*,32,ATL,NL,101,172,153,16,31,5,0,3,16,1,3,17,42,.203,.285,.294,.579,51,45,2,1,0,1,1,H9/7,smithdw01
896,Lee Smith,38,TOT,MLB,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,smithle02
897,Lee Smith,38,CIN,NL,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,smithle02
898,Mark Smith,26,BAL,AL,27,84,78,9,19,2,0,4,10,0,2,3,20,.244,.298,.423,.721,80,33,0,3,0,0,0,7/9DH,smithma03
899,Ozzie Smith#,41,STL,NL,82,261,227,36,64,10,2,2,18,7,5,25,9,.282,.358,.370,.728,94,84,5,2,7,0,0,6H,smithoz01
900,Zane Smith*,35,PIT,NL,16,28,26,2,4,0,0,0,3,0,0,0,6,.154,.154,.154,.308,-19,4,0,0,2,0,0,1,smithza01
901,John Smoltz,29,ATL,NL,35,98,78,3,17,3,0,1,12,0,0,3,26,.218,.253,.295,.548,42,23,0,1,15,1,0,1,smoltjo01
902,Chris Snopek,25,CHW,AL,46,113,104,18,27,6,1,6,18,0,1,6,16,.260,.304,.510,.813,106,53,5,1,1,1,0,56H/D,snopech01
903,J.T. Snow*,28,CAL,AL,155,641,575,69,148,20,1,17,67,1,6,56,96,.257,.327,.384,.711,81,221,19,5,2,3,6,*3/H,snowj.01
904,Steve Soderstrom,24,SFG,NL,3,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,soderst01
905,Luis Sojo,31,TOT,AL,95,308,287,23,63,10,1,1,21,2,2,11,17,.220,.250,.272,.522,33,78,10,1,8,1,0,456H,sojolu01
906,Luis Sojo,31,SEA,AL,77,264,247,20,52,8,1,1,16,2,2,10,13,.211,.244,.263,.507,29,65,8,1,6,0,0,546H,sojolu01
907,Luis Sojo,31,NYY,AL,18,44,40,3,11,2,0,0,5,0,0,1,4,.275,.286,.325,.611,54,13,2,0,2,1,0,4/65H,sojolu01
908,Paul Sorrento*,30,SEA,AL,143,542,471,67,136,32,1,23,93,0,2,57,103,.289,.370,.507,.878,121,239,10,7,2,5,10,*3H,sorrepa01
909,Sammy Sosa,27,CHC,NL,124,541,498,84,136,21,2,40,100,18,5,34,134,.273,.323,.564,.888,127,281,14,5,0,4,6,*9,sosasa01
910,Steve Sparks,30,MIL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sparkst01
911,Tim Spehr,29,MON,NL,63,49,44,4,4,1,0,1,3,1,0,3,15,.091,.167,.182,.348,-9,8,1,1,1,0,0,2H/9,spehrti01
912,Bill Spiers*,30,HOU,NL,122,242,218,27,55,10,1,6,26,7,0,20,34,.252,.320,.390,.709,93,85,3,2,1,1,4,5H/43689,spierbi01
913,Scott Spiezio#,23,OAK,AL,9,35,29,6,9,2,0,2,8,0,1,4,4,.310,.394,.586,.980,143,17,0,0,2,0,1,/5D,spiezsc01
914,Jerry Spradlin#,29,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,spradje01
915,Ed Sprague,28,TOR,AL,159,670,591,88,146,35,2,36,101,0,0,60,146,.247,.325,.496,.821,105,293,7,12,0,7,3,*5D/H,spraged02
916,Russ Springer,27,PHI,NL,51,19,17,1,1,0,0,0,0,0,0,0,12,.059,.059,.059,.118,-69,1,1,0,2,0,0,1,sprinru01
917,Scott Stahoviak*,26,MIN,AL,130,469,405,72,115,30,3,13,61,3,3,59,114,.284,.376,.469,.845,112,190,9,2,1,2,7,*3H/D,stahosc01
918,Matt Stairs*,28,OAK,AL,61,158,137,21,38,5,1,10,23,1,1,19,23,.277,.367,.547,.915,127,75,2,1,0,1,2,9H7/D3,stairma01
919,Andy Stankiewicz,31,MON,NL,64,88,77,12,22,5,1,0,9,1,0,6,12,.286,.356,.377,.733,93,29,1,3,1,1,1,H46/5,stankan01
920,Mike Stanley,33,BOS,AL,121,473,397,73,107,20,1,24,69,2,0,69,62,.270,.383,.506,.889,122,201,8,5,0,2,3,2HD,stanlmi02
921,Mike Stanton*,29,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,stantmi02
922,Mike Stanton*,29,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,stantmi02
923,Terry Steinbach,34,OAK,AL,145,571,514,79,140,25,1,35,100,0,1,49,115,.272,.342,.529,.871,116,272,16,6,0,2,5,*2H/D3,steinte01
924,Lee Stevens*,28,TEX,AL,27,86,78,6,18,2,3,3,12,0,0,6,22,.231,.291,.449,.739,80,35,2,1,0,1,0,3/H7,stevele01
925,Todd Steverson,24,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,steveto01
926,Shannon Stewart,22,TOR,AL,7,18,17,2,3,1,0,0,2,1,0,1,4,.176,.222,.235,.458,17,4,1,0,0,0,0,/8H,stewash01
927,Kurt Stillwell#,31,TEX,AL,46,89,77,12,21,4,0,1,4,0,0,10,11,.273,.364,.364,.727,82,28,1,1,1,0,0,4H/653D,stillku01
